,Col1,Col2,Col3,Col4,Col5,Col6,Col7
559,"High Ground Farmacy, LLC",2359 Mountain View Road,585-509-7900,HP 1192,Glade Valley,NC,28627
560,High Rock Hemp Works,3114 Old NC HWY 109,"336-859-5622,336-250-3391",HP 385,Lexington,NC,27292
561,High-end Hemp,108 Hudson St,828-385-5895,HP 1202,Morganton,NC,28655
562,Hill Herbal Hemp,801 Gold Street PO Box 2212,919-437-6344,HP 911,Rocky Mount,NC,27802
563,"Hines, Keith",1841 Bailey Rd,336-953-2766,HP 573,Asheboro,NC,27205
564,Hobgood Hemp LLC,106 N Pine Street,252-260-2105,HP 1239,Hobgood,NC,27843
565,"Hoffman, Leslie",54 Greenridge Rd,,HP 279,Weaverville,NC,28787
566,Holistic Magnified,404 Hamilton Street,919-744-0132,HP 501,Henderson,NC,27536
567,"Holliday, Dianne",165 Earnest Lane,,HP 534,Linden,NC,28356
568,Holmes Brothers Farm,640 Burnett Reeves Rd,828-450-9194,HP 411,Leicester,NC,28748
569,"Holy Jute, LLC",910 Cameron Village Drive #107,704-965-9156,HP 249,Matthews,NC,28105
570,"Home Grown Hemp, LLC",6254 Blue Bonnet Lane,336-918-0122,HP 132,Winston Salem,NC,27103
571,"Honeybee Bliss, LLC",650 Blythe Stepp Road,828-337-8801,HP 133,Hendersonville,NC,28792
572,Horner International Company,3427 Industrial Drive,919-787-3112,HP 878,Durham,NC,27704
573,Hughes Road Tree Farm,4716 South 19E,252-473-7327,HP 410,Plumtree,NC,28657
574,"Humble Origins, LLC",2112 Lawrence Drive,919-749-8475,HP 259,Raleigh,NC,27603-2623
575,"Hunting Creek Farms, LLC",182 Dare Rd,704-363-5889,HP 662,Hamptonville,NC,27020
576,Huntsboro Hemp Co. LLC,123 Williamsboro Street,919-691-0409,HP 904,Oxford,NC,27565
577,"Hurley, Matthew Thomas",215 Johnston Blvd,828-708-3500,HP 585,Asheville,NC,28806
578,Hutch Mountain Farms,75 Garland Rd,828-450-6954,HP 437,Fletcher,NC,28732
579,"Hyman, James Adam",655 Britt Farm Road,252-567-9131,HP 426,Tarboro,NC,27886-8418
580,"Hynes, Michael",200 Schaff Ln,252-725-0587,HP 135,Gloucester,NC,28528
581,"I Cut Grass, LLC",3585 Ashemont Rd,910-269-7229,HP 136,Raeford,NC,28396
582,I Really Mean It LLC,2201 South Wilmington St,919-601-2867,HP 831,Raleigh,NC,27610
583,IHHP,739 Dickson Road,704-836-6543,HP 468,Riegelwood,NC,28456
584,IJS Farm Inc,16 B Montview Drive,828-230-4193,HP 1255,Asheville,NC,28801
585,Imagine This! Creative Concepts,PO Box 281,704-456-9340,HP 287,Harrisburg,NC,28075
586,In Bloom Naturals,285 Bride Lane,336-816-5768,HP 380,Advance,NC,27006
587,INCEPTUM ENTERPRISES LLC,485 Jupiter Rd,862-236-0258,HP 1267,Weaverville,NC,28787
588,"Industrial Hemp Manufacturing, LLC",1436 Highway 581 North,252-478-3646,HP 137,Spring Hope,NC,27882
589,"Industrial Hemp Products USA, Inc.",24503 US Highway 264 E.,252-562-0430,HP 612,Pantego,NC,27860-9577
590,"Industry of Green, LLC",325 Park Ave.,843-260-2140,HP 138,Florance,SC,29501
591,"Ingram, Randy",1868 Horney Road,828-387-6679,HP 139,Nowland,NC,28657
592,"Innovative AgriProducts, LLC",1157 S. Cox Street,888-334-4367,HP 140,Asheboro,NC,27203
593,Inspec,250 Palmer Pond Rd,919-623-6335,HP 1154,Clyde,NC,28721
594,Instant Karma,725 Haywood Rd,828-285-8999,HP 535,Asheville,NC,28806
595,Integrated Laboratory Solutions,695 S. Bennett St.,910-687-4529,HP 141,Southern Pines,NC,28387
596,"Integrity Health Options, PA",1322 W. Main St.,828-289-6158,HP 626,Forest City,NC,28043
597,Intelligent Plants Apothecary LLC,5873 Jenkins Rd Lot 7,216-533-2136,HP 375,Morganton,NC,28655
598,Intelligent Plants Appothecary LLC (C,105 1st Street NE,216-533-2136,HP 376,Catawba,NC,28609
599,International Flowering Blessings,948 Rosman Hwy,828-553-9677,HP 857,Brevard,NC,28712
600,IOSITY Labs LLC,555 Fayetteville St #201,336-355-3777,HP 690,Raleigh,NC,27601
601,"Ioto USA, LLC",1997 North Greene St,252-413-7343,HP 142,Greenville,NC,27834
602,Ish's Place Inc,222 Bayleigh Ct,919-394-7913,HP 1194,Garner,NC,27529
603,"Island Girl Hemp, CO",1505 Bearhollow Rd,336-456-3469,HP 143,Greensboro,NC,27410
604,"Isley, Darrell",1797 Iron Works Road,,HP 144,Reidsville,NC,27320
605,Isolera Extracts,325 Lewis Street,404-600-7000,HP 390,Oxford,NC,27565
606,"It's All About Oils, LLC",101 Farmington Drive,919-538-8083,HP 679,Clayton,NC,27520
607,J Squared Extractions LLC,203 North Caldwell Street,828-424-5096,HP 145,Brevard,NC,28712
608,Jackson's Gem's,191 Duchess Ct.,828-829-2220,HP 614,Rutherfordton,NC,28139
609,James Adam McCorquodale,1427A Boulder Court,336-404-6464,HP 673,Greensboro,NC,27409
610,James Francis Plott,3923 Rhodes Ave,704-975-9397,HP 985,Charlotte,NC,28210
611,"James, Pashondra",15 Strawberry Hill,,HP 280,Fuquay Varina,NC,27526
612,Jason Smith,540 Community Road,336-671-2066,HP 949,Lexington,NC,27295
613,Javon Rembert,5907 Brightstar Valley Road,704-648-9792,HP 1002,Mint Hill,NC,28227
614,Jennifer Thompson,4403 Pine Swamp Rd,704-619-0731,HP 991,Fleetwood,NC,28626
615,Jessup Processing,684 Maple Street,276-692-7179,HP 834,Mt. Airy,NC,27030
616,"JKOBL, LLC",116 E. Franklin St,980-210-3527,HP 931,Monroe,NC,28112
617,"Joco Hemp, CO",980 Allen Rd,919-333-3175,HP 146,Clayton,NC,27520
618,John Craig Artley,185 Orchard Cove Rd,828-506-8647,HP 1249,Waynesville,NC,28785
619,John Zimmerman,107 Old Jamestown Rd,828-448-4068,HP 1280,Morganton,NC,28655
620,Johnson Medicinal Hemp Farms,4005 Daytona Road,910-709-9433,HP 148,Fayetteville,NC,28311
621,"Johnson, Derrick M.",8707 Buckhorn St.,704-777-5061,HP 147,Charlotte,NC,28216
622,"Johnson, Tonette Sheree",107 Ben Court,646-240-6758,HP 487,Bunnlevel,NC,28323
623,Jonathan Ray Whitley,6305 Hwy 222 E,252-315-6720,HP 977,Statonsburg,NC,27883
624,"Jordan, Wilton",3225 Asheville Hwy,864-504-7314,HP 555,Canton,NC,28716
625,JTS  Concentrates,7225 Firelane Rd Apt C34,803-237-4996,HP 778,Polkton,NC,28135
626,JTS Group Inc.,284 Smith Mill Road,910-734-1829,HP 1065,Lumberton,NC,28358
627,"Judge, Pernell",5024 Somerset Ln.,,HP 427,Raleigh,NC,27616
628,Juice Box NoDA,3100 N. Davidson St Ste 101,312-446-8936,HP 780,Charlotte,NC,28205
629,Just Cactus,PO Box 1087,910-728-8841,HP 389,Spring Lake,NC,28390
630,Kairos Botanical Extracts,3607 Hodges Chapel Road,919-525-8566,HP 1084,Dunn,NC,28334
631,Kanna.Bus Hemp Company,415 E. 10th Street,804-237-2267,HP 718,Washington,NC,27889
632,KannMed Farms,102 Heathwick Drive,"910-364-7122,919-889-3702",HP 1125,Knightdale,NC,27545
